City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Akyab,MM,76.71,overcast clouds,20.15,92.9,Hotel Memory
13,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
17,Bauchi,NG,80.62,overcast clouds,10.5,10.0,
20,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Butaritari,KI,80.1,clear sky,3.0707,172.7902,Isles Sunset Lodge
23,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
27,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
34,Acapulco,MX,80.42,thunderstorm with rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
35,Kolokani,ML,84.87,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
37,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
42,Bangaon,IN,80.55,broken clouds,23.0667,88.8167,Manigram Mallick Bari West Bengal
48,Abadan,IR,80.55,clear sky,30.3392,48.3043,سالن مراسمات خانه معلم
51,Hilo,US,78.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
52,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
57,Camopi,GF,81.18,overcast clouds,3.1655,-52.3158,La pousada
58,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
61,Ixtapa,MX,86.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
67,Sao Felix Do Xingu,BR,87.66,moderate rain,-6.6447,-51.995,Rio Xingu Camping
74,Bandarbeyla,SO,79.16,overcast clouds,9.4942,50.8122,JABIR HOTEL
75,Dingle,PH,75.65,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
81,Arlit,NE,89.73,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
85,Doka,SD,84.29,overcast clouds,13.5167,35.7667,
87,Pimenta Bueno,BR,88.32,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
88,Ajdabiya,LY,79.23,scattered clouds,30.7554,20.2263,Almadina Hotel
90,Mount Isa,AU,76.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
93,Le Vauclin,MQ,87.85,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
95,Awbari,LY,81.3,few clouds,26.5921,12.7805,فندق أوباري
96,Kavieng,PG,82.06,light rain,-2.5744,150.7967,Nusa Island Retreat
97,Cabo Rojo,PR,87.78,light rain,18.0866,-67.1457,Hotel Perichi's
98,Buala,SB,79.59,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
101,Hithadhoo,MV,81.32,broken clouds,-0.6,73.0833,Scoop Guest House
103,Faanui,PF,75.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Barra Dos Coqueiros,BR,82.42,few clouds,-10.9089,-37.0386,Jangadeiro
105,Rio Tercero,AR,76.48,clear sky,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
107,Lamu,KE,77.65,clear sky,-2.2717,40.902,Lamu House
110,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
113,Itarema,BR,85.3,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
114,Tuy Hoa,VN,77.38,heavy intensity rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
115,Lorengau,PG,80.56,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
119,Mackay,AU,75.69,broken clouds,-21.15,149.2,International Lodge Motel
124,Biak,ID,76.23,overcast clouds,-0.9131,122.8766,Penginapan Kim
127,Daman,IN,76.01,clear sky,20.4167,72.85,Silver Sands Beach Resort
129,Namatanai,PG,78.89,light rain,-3.6667,152.4333,Seagulls Inn Namatani
131,Kirakira,SB,79.34,scattered clouds,-10.4544,161.9205,SanBiz Lodge
136,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
138,Labuhan,ID,78.82,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
142,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
147,Adrar,MR,86.63,scattered clouds,20.5022,-10.0711,
149,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
150,Shiloh,US,80.33,broken clouds,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O'Fallon IL
151,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
155,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
